"","X","n","MAE","type","method","TAE"
"153",153,53,0.00300926,4,"origi",1
"154",154,54,0.00292946,4,"origi",1
"155",155,55,0.00285332,4,"origi",1
"156",156,56,0.00278128,4,"origi",1
"157",157,57,0.00270793,4,"origi",1
"158",158,58,0.00263041,4,"origi",1
"159",159,59,0.00257448,4,"origi",1
"160",160,60,0.00250236,4,"origi",1
"161",161,61,0.00243895,4,"origi",1
"162",162,62,0.0023839,4,"origi",1
"163",163,63,0.00232998,4,"origi",1
"164",164,64,0.00227894,4,"origi",1
"165",165,65,0.00222477,4,"origi",1
"166",166,66,0.00217467,4,"origi",1
"167",167,67,0.00212232,4,"origi",1
"168",168,68,0.0020832,4,"origi",1
"169",169,69,0.00203661,4,"origi",1
"170",170,70,0.00200221,4,"origi",1
"171",171,71,0.00195092,4,"origi",1
"172",172,72,0.00191109,4,"origi",1
"173",173,73,0.00187517,4,"origi",1
"174",174,74,0.00183613,4,"origi",1
"175",175,75,0.00180323,4,"origi",1
"176",176,76,0.00176455,4,"origi",1
"177",177,77,0.00173792,4,"origi",1
"178",178,78,0.00169663,4,"origi",1
"179",179,79,0.00166831,4,"origi",1
"180",180,80,0.00163363,4,"origi",1
"181",181,81,0.00160931,4,"origi",1
"182",182,82,0.00157971,4,"origi",1
"183",183,83,0.00155009,4,"origi",1
"184",184,84,0.00152446,4,"origi",1
"185",185,85,0.00149549,4,"origi",1
"186",186,86,0.00147209,4,"origi",1
"187",187,87,0.00144917,4,"origi",1
"188",188,88,0.00142139,4,"origi",1
"189",189,89,0.00139973,4,"origi",1
"190",190,90,0.00137527,4,"origi",1
"191",191,91,0.00135297,4,"origi",1
"192",192,92,0.0013334,4,"origi",1
"193",193,93,0.00131046,4,"origi",1
"194",194,94,0.0012888,4,"origi",1
"195",195,95,0.00126954,4,"origi",1
"196",196,96,0.00125067,4,"origi",1
"197",197,97,0.00123312,4,"origi",1
"198",198,98,0.00121285,4,"origi",1
"199",199,99,0.00119551,4,"origi",1
"200",200,100,0.00117915,4,"origi",1
"201",201,1,0.32847,5,"origi",1
"202",202,2,0.163094,5,"origi",1
"203",203,3,0.0902468,5,"origi",1
"204",204,4,0.0567908,5,"origi",1
"205",205,5,0.0425876,5,"origi",1
"206",206,6,0.0312336,5,"origi",1
"207",207,7,0.0236865,5,"origi",1
"208",208,8,0.0188587,5,"origi",1
"209",209,9,0.0154046,5,"origi",1
"210",210,10,0.0128315,5,"origi",1
"211",211,11,0.0108351,5,"origi",1
"212",212,12,0.00933339,5,"origi",1
"213",213,13,0.00802491,5,"origi",1
"214",214,14,0.00698113,5,"origi",1
"215",215,15,0.00620719,5,"origi",1
"216",216,16,0.0054989,5,"origi",1
"217",217,17,0.00493848,5,"origi",1
"218",218,18,0.0044455,5,"origi",1
"219",219,19,0.00404328,5,"origi",1
"220",220,20,0.0036422,5,"origi",1
"221",221,21,0.00333642,5,"origi",1
"222",222,22,0.00303653,5,"origi",1
"223",223,23,0.00281956,5,"origi",1
"224",224,24,0.0025997,5,"origi",1
"225",225,25,0.00239287,5,"origi",1
"226",226,26,0.00222645,5,"origi",1
"227",227,27,0.00208333,5,"origi",1
"228",228,28,0.00193279,5,"origi",1
"229",229,29,0.00180371,5,"origi",1
"230",230,30,0.00169784,5,"origi",1
"231",231,31,0.00158661,5,"origi",1
"232",232,32,0.00150021,5,"origi",1
"233",233,33,0.00140656,5,"origi",1
"234",234,34,0.00133114,5,"origi",1
"235",235,35,0.00126405,5,"origi",1
"236",236,36,0.00119431,5,"origi",1
"237",237,37,0.00112934,5,"origi",1
"238",238,38,0.00107945,5,"origi",1
"239",239,39,0.00102313,5,"origi",1
"240",240,40,0.000976909,5,"origi",1
"241",241,41,0.000931629,5,"origi",1
"242",242,42,0.000885123,5,"origi",1
"243",243,43,0.000848718,5,"origi",1
"244",244,44,0.000810957,5,"origi",1
"245",245,45,0.000776725,5,"origi",1
"246",246,46,0.000745161,5,"origi",1
"247",247,47,0.00071301,5,"origi",1
"248",248,48,0.000685826,5,"origi",1
"249",249,49,0.000658534,5,"origi",1
"250",250,50,0.000634949,5,"origi",1
"251",251,51,0.000607292,5,"origi",1
"252",252,52,0.000588254,5,"origi",1
"253",253,53,0.000565501,5,"origi",1
"254",254,54,0.000543835,5,"origi",1
"255",255,55,0.000526284,5,"origi",1
"256",256,56,0.000506875,5,"origi",1
"257",257,1,0.293508,6,"origi",1
"258",258,2,0.121432,6,"origi",1
"259",259,3,0.0592503,6,"origi",1
"260",260,4,0.0343622,6,"origi",1
"261",261,5,0.0228593,6,"origi",1
"262",262,6,0.0165792,6,"origi",1
"263",263,7,0.0119404,6,"origi",1
"264",264,8,0.00903132,6,"origi",1
"265",265,9,0.00683981,6,"origi",1
"266",266,10,0.00555935,6,"origi",1
"267",267,11,0.00452338,6,"origi",1
"268",268,12,0.00379472,6,"origi",1
"269",269,13,0.00313184,6,"origi",1
"270",270,14,0.00266947,6,"origi",1
"271",271,15,0.00229033,6,"origi",1
"272",272,16,0.00198318,6,"origi",1
"273",273,17,0.00171372,6,"origi",1
"274",274,18,0.00150587,6,"origi",1
"275",275,19,0.00133036,6,"origi",1
"276",276,20,0.00118082,6,"origi",1
"277",277,21,0.00105861,6,"origi",1
"278",278,22,0.000950966,6,"origi",1
"279",279,23,0.000854313,6,"origi",1
"280",280,24,0.000779018,6,"origi",1
"281",281,25,0.000706225,6,"origi",1
"282",282,26,0.00064251,6,"origi",1
"283",283,27,0.000588524,6,"origi",1
"284",284,28,0.000536551,6,"origi",1
"285",285,29,0.000496282,6,"origi",1
"286",286,1,0.260847,7,"origi",1
"287",287,2,0.0899484,7,"origi",1
"288",288,3,0.0407112,7,"origi",1
"289",289,4,0.0210544,7,"origi",1
"290",290,5,0.0129793,7,"origi",1
"291",291,6,0.00873314,7,"origi",1
"292",292,7,0.00643182,7,"origi",1
"293",293,8,0.00463883,7,"origi",1
"294",294,9,0.00340102,7,"origi",1
"295",295,10,0.00254266,7,"origi",1
"296",296,11,0.0020154,7,"origi",1
"297",297,12,0.00161062,7,"origi",1
"298",298,13,0.00131633,7,"origi",1
"299",299,14,0.00108862,7,"origi",1
"300",300,15,0.000890666,7,"origi",1
"301",301,16,0.000759625,7,"origi",1
"302",302,17,0.000644078,7,"origi",1
"303",303,1,0.229109,8,"origi",1
"304",304,2,0.0735437,8,"origi",1
"305",305,3,0.0290703,8,"origi",1
"306",306,4,0.0137306,8,"origi",1
"307",307,5,0.00772095,8,"origi",1
"308",308,6,0.00505069,8,"origi",1
"309",309,7,0.00344125,8,"origi",1
"310",310,8,0.00252411,8,"origi",1
"311",311,9,0.00177699,8,"origi",1
"312",312,10,0.0012713,8,"origi",1
"313",313,11,0.000945184,8,"origi",1
"314",314,12,0.000726711,8,"origi",1
