"","event severity","event start","reaction start","impact time","event end"
"1","Crash",-0.282916746199418,-0.166436590956318,-0.231679815349661,-0.232460661063837
"2","Crash",0.0430874615107693,-0.601830625996313,0.0968071630084011,0.096276016386257
"3","Near-Crash",3.50281092073952,3.66534571865794,3.57464363880477,3.57432956440486
"4","Near-Crash",0.107553712154836,0.228352746015998,0.160824768603589,0.160146437001341
"5","Near-Crash",1.05666791194412,1.18749367060158,1.11512760519768,1.11412081788675
"6","Crash",0.454789286333544,0.580138562549153,0.510064159379993,0.510319731420083
"7","Crash",-0.422772464736787,-0.308710646859323,-0.372272741840603,-0.371943978181474
"8","Crash",-0.5988543637577,-0.486371926832868,-0.549009371405012,-0.549482941239296
"9","Crash",0.354493403039089,0.478945576628493,0.408551690801128,0.409850944870936
"10","Crash",-0.445068506285525,-0.332337704330244,-0.396029291617753,-0.396196880017443
"11","Crash",-0.321737243140725,-0.205626308945119,-0.27029701843538,-0.268185080173421
"12","Crash",-0.706577839300308,-0.597007537056124,-0.659518108331503,-0.659909807830268
"13","Crash",1.85561265879601,1.99711247699201,1.91661741450249,1.91608671443428
"14","Crash",6.20677285437,6.40160337944064,6.2929225879955,6.2957718972225
"15","Crash",-0.355135227722655,-0.241793821730485,-0.303407104297452,-0.303265095118449
"16","Crash",-0.135194998725124,-0.601830625996313,-0.0851109015986986,-0.0857814974419882
"17","Crash",0.826319698621425,0.955882211117121,0.88304044669849,0.884139429637566
"18","Crash",-0.141832986044933,-0.601830625996313,-0.0900894871795449,-0.089001412368807
"19","Crash",-0.371687609018968,-0.257548727294047,-0.321912028906705,-0.321975980746169
"20","Crash",0.275285067808876,0.397487392786959,0.328252081861954,0.327664143138459
"21","Crash",-0.634253239342845,-0.523432106870792,-0.586290154506812,-0.585978118271192
"22","Crash",-0.37653484776123,-0.262783164089334,-0.327377032055227,-0.327099625623181
"23","Crash",0.123409342152751,-0.601830625996313,0.176011104093112,0.175468234059913
"24","Crash",-0.708944559642562,-0.600165444644747,-0.661998627356275,-0.662119594660359
"25","Crash",-0.392509860997647,-0.278716179033454,-0.343144541781455,-0.343211133667729
"26","Crash",-0.612746104574858,-0.501542322643567,-0.564292569267319,-0.564839836563912
"27","Crash",-0.469536484997906,-0.601830625996313,-0.419890424681459,-0.420260251216778
"28","Crash",-0.165512756124157,-0.601830625996313,-0.112665439050733,-0.112387387033505
"29","Crash",-0.489164904591555,-0.601830625996313,-0.439971819502834,-0.43985491118347
"30","Crash",0.114782332338818,0.233793563522091,0.167518800844464,0.166874072636534
"31","Crash",-0.684107260853173,-0.601830625996313,-0.632974308682431,-0.633433079857791
"32","Crash",1.540363414765,1.67772772527203,1.60009293918325,1.60177331843205
"33","Crash",0.123628560497136,-0.601830625996313,0.175613827984447,0.175648639147376
"34","Crash",-0.567641581143691,-0.456859485187716,-0.520259496120723,-0.520964898113736
"35","Crash",0.347576156681847,0.469756687514866,0.400252410396796,0.400452331189842
"36","Crash",-0.449064004963613,-0.601830625996313,-0.400463201827002,-0.400914086973672
"37","Crash",-0.369536616283132,-0.255203620450034,-0.319914417943348,-0.320301793455901
"38","Near-Crash",0.23955108137881,0.36118347083315,0.295460659168316,0.294928692365129
"39","Crash",-0.590061194816493,-0.477821262999573,-0.540456704648687,-0.540070288251785
"40","Crash",-0.414636950828738,-0.601830625996313,-0.365902987978178,-0.364796567284402
"41","Crash",0.251694660621631,0.373577622013565,0.305125839409152,0.305088938419363
"42","Near-Crash",-0.480958877776554,-0.368898895389303,-0.430950282710135,-0.429434235995194
"43","Near-Crash",0.397028743325863,0.520701624620494,0.45182951820051,0.451730195913885
"44","Crash",-0.249208784085935,-0.132776745163887,-0.1983177469381,-0.199459165433898
"45","Crash",-0.673604328455277,-0.564383128734,-0.626121646758591,-0.625950831502666
"46","Crash",0.00579102076625887,-0.601830625996313,0.0570283133505269,0.0570768689383793
"47","Crash",1.21608921679172,-0.601830625996313,1.27461430959151,1.27453463497669
"48","Crash",-0.371557753566561,-0.601830625996313,-0.321773052458798,-0.321407388836267
"49","Crash",0.629221462590815,-0.601830625996313,0.682793634696404,0.683617420009224
"50","Near-Crash",0.0499341949610597,0.169901063946458,0.102995826347795,0.102743924852729
"51","Near-Crash",0.158403292133617,0.279998105328503,0.212443990482427,0.212417582654411
"52","Near-Crash",-0.488787206743426,-0.377320217886717,-0.440780409745205,-0.441421697779646
"53","Crash",-0.669896466585746,-0.559074479696814,-0.62172142780944,-0.621960860618855
"54","Crash",0.0458612019000835,0.165070200390451,0.0978333426389096,0.0977297865657734
"55","Near-Crash",-0.527408731620561,-0.415570620928052,-0.478146824799756,-0.478344371691951
"56","Near-Crash",-0.429043924569963,-0.314309077031543,-0.37808027280013,-0.377134309763968
"57","Near-Crash",1.0469301493088,1.17830831540424,1.10429797077968,1.104289793568
"58","Near-Crash",-0.406148872385929,-0.2931373845926,-0.357274515886631,-0.357715843092813
"59","Near-Crash",-0.100714187225543,0.0179603334486461,-0.0485011360938656,-0.0475826505763466
"60","Near-Crash",0.0477022171043677,0.166061817298875,0.0986931716726805,0.0988473153565943
"61","Near-Crash",-0.483789168120949,-0.371780450724759,-0.434153760024527,-0.432982670692178
"62","Near-Crash",4.87988121762543,5.05901274844493,4.95794852065661,4.95831807333915
"63","Near-Crash",-0.594878413212232,-0.484640307855221,-0.547081950566861,-0.547582019150387
"64","Crash",-0.427255968582791,-0.313516066218107,-0.376995133464448,-0.375742312532688
"65","Crash",0.596187212905143,0.721647172185712,0.650432477470277,0.650095066111201
