Loading required package: foreach
Loading required package: iterators
Loading required package: parallel
[1] "m=3,simu"
[1] 128
      n         TAE
1     1 2.99061e-03
2     2 5.36774e-03
3     3 6.85079e-03
4     4 8.20532e-03
5     5 9.56913e-03
6     6 1.07090e-02
7     7 1.18582e-02
8     8 1.28854e-02
9     9 1.40099e-02
10   10 1.48048e-02
11   11 1.57320e-02
12   12 1.65858e-02
13   13 1.73397e-02
14   14 1.81195e-02
15   15 1.87905e-02
16   16 1.94947e-02
17   17 2.02238e-02
18   18 2.08521e-02
19   19 2.15058e-02
20   20 2.21996e-02
21   21 2.27542e-02
22   22 2.32444e-02
23   23 2.38599e-02
24   24 2.43828e-02
25   25 2.49313e-02
26   26 2.53874e-02
27   27 2.60517e-02
28   28 2.64701e-02
29   29 2.69170e-02
30   30 2.73924e-02
31   31 2.78495e-02
32   32 2.83325e-02
33   33 2.87639e-02
34   34 2.92303e-02
35   35 2.97401e-02
36   36 3.00959e-02
37   37 3.05954e-02
38   38 3.11284e-02
39   39 3.13969e-02
40   40 3.18003e-02
41   41 3.21397e-02
42   42 3.25855e-02
43   43 3.30009e-02
44   44 3.34256e-02
45   45 3.38322e-02
46   46 3.41278e-02
47   47 3.44520e-02
48   48 3.48758e-02
49   49 3.52333e-02
50   50 3.56016e-02
51   51 3.60043e-02
52   52 3.63920e-02
53   53 3.67317e-02
54   54 3.70788e-02
55   55 3.75140e-02
56   56 3.78651e-02
57   57 3.81929e-02
58   58 3.84369e-02
59   59 3.88804e-02
60   60 3.91519e-02
61   61 3.94528e-02
62   62 3.97490e-02
63   63 4.00968e-02
64   64 4.04581e-02
65   65 4.07739e-02
66   66 4.10413e-02
67   67 4.13527e-02
68   68 4.16708e-02
69   69 4.20531e-02
70   70 4.23963e-02
71   71 4.25721e-02
72   72 4.28915e-02
73   73 4.31591e-02
74   74 4.35438e-02
75   75 4.38469e-02
76   76 4.41245e-02
77   77 4.43656e-02
78   78 4.47121e-02
79   79 4.50211e-02
80   80 4.53207e-02
81   81 4.55576e-02
82   82 4.58169e-02
83   83 4.60324e-02
84   84 4.64338e-02
85   85 4.67199e-02
86   86 4.69168e-02
87   87 4.71851e-02
88   88 4.75297e-02
89   89 4.77493e-02
90   90 4.80138e-02
91   91 4.82946e-02
92   92 4.86499e-02
93   93 4.88403e-02
94   94 4.91918e-02
95   95 4.93410e-02
96   96 4.96178e-02
97   97 4.99131e-02
98   98 5.01130e-02
99   99 5.02950e-02
100 100 5.06617e-02
