1 1   (0.01,0.26) 3.40951e+00 8.03049e+00
       
2 2      (0,0.22) 9.44304e-02 8.78826e-01
       
3 3      (0,0.36) 3.38062e-02 5.74850e-01
       
4 4   (0.01,0.34) 2.15459e-02 5.80313e-01
       
5 5   (0.01,0.32) 1.04042e-02 5.79112e-01
       
6 6       (0,0.3) 5.47068e-03 4.69511e-01
       
7 7   (0.01,0.37) 5.08519e-03 5.42896e-01
       
8 8      (0,0.26) 4.33571e-03 6.16399e-01
       
9 9   (0.01,0.45) 2.36692e-03 4.61362e-01
         
10 10       (0,0.3) 1.53366e-03 5.19156e-01
         
11 11      (0,0.35) 1.19571e-03 4.58823e-01
         
12 12   (0.01,0.32) 8.87065e-04 4.52709e-01
         
13 13      (0,0.33) 1.00934e-03 8.20999e-01
         
14 14       (0,0.4) 7.62836e-04 6.53815e-01
         
15 15      (0,0.38) 6.17470e-04 6.76886e-01
         
16 16      (0,0.48) 5.55251e-04 7.71526e-01
         
17 17      (0,0.36) 3.96229e-04 5.84507e-01
         
18 18      (0,0.44) 3.70175e-04 7.41141e-01
         
19 19      (0,0.38) 2.81251e-04 5.94412e-01
         
20 20   (0.01,0.41) 1.44675e-04 3.87134e-01
         
21 21      (0,0.32) 2.30663e-04 7.11563e-01
         
22 22      (0,0.44) 1.56497e-04 5.31117e-01
         
23 23      (0,0.35) 1.02628e-04 3.91548e-01
         
24 24      (0,0.44) 2.06332e-04 9.57945e-01
         
25 25      (0,0.34) 1.30134e-04 6.67796e-01
         
26 26      (0,0.47) 1.64540e-04 9.31351e-01
