"1",1,"(0.08,0.38)","2.40344e-01","6.05125e-01"
"2",2,"(0.14,0.32)","6.30076e-02","2.70499e-01"
"3",3,"(0.07,0.39)","2.73565e-02","3.03489e-01"
"4",4,"(0.02,0.44)","3.47323e-02","3.26274e-01"
"5",5,"(0.01,0.83)","7.46618e-02","9.47660e-01"
"6",6,"(0.04,0.55)","1.11800e-02","2.04607e-01"
"7",7,"(0.04,0.49)","8.48130e-03","1.56777e-01"
"8",8,"(0.01,0.5)","9.01994e-03","2.06672e-01"
"9",9,"(0.04,0.46)","5.22667e-03","1.51188e-01"
"10",10,"(0,0.48)","5.85402e-03","2.07875e-01"
"11",11,"(0.02,0.69)","1.04318e-02","3.83159e-01"
"12",12,"(0,0.64)","5.62825e-03","2.48274e-01"
"13",13,"(0.01,0.69)","1.62095e-02","8.84037e-01"
"14",14,"(0.01,0.71)","8.78573e-03","4.78694e-01"
"15",15,"(0.02,0.61)","9.62426e-03","6.57071e-01"
"16",16,"(0,0.78)","7.50953e-03","5.47026e-01"
"17",17,"(0,0.51)","8.65448e-03","7.19572e-01"
"18",18,"(0,0.59)","4.19223e-03","3.57684e-01"
"19",19,"(0,0.6)","2.67567e-03","2.33896e-01"
"20",20,"(0.01,0.62)","3.07996e-03","3.14605e-01"
"21",21,"(0.01,0.66)","2.94133e-03","3.09737e-01"
"22",22,"(0.03,0.69)","5.38678e-03","6.61798e-01"
"23",23,"(0.01,0.55)","1.01549e-03","1.36887e-01"
"24",24,"(0.01,0.71)","3.05548e-03","4.21536e-01"
"25",25,"(0.01,0.7)","1.66169e-03","2.52363e-01"
"26",26,"(0,0.74)","2.39010e-03","3.56188e-01"
"27",27,"(0.01,0.73)","4.15138e-03","6.54634e-01"
"28",28,"(0.01,0.68)","1.58231e-03","2.66118e-01"
"29",29,"(0,0.86)","3.00958e-03","5.29900e-01"
"30",30,"(0,0.85)","4.17696e-03","7.71615e-01"
"31",31,"(0,0.71)","5.99984e-03","1.29754e+00"
"32",32,"(0,0.86)","3.78257e-03","7.45410e-01"
"33",33,"(0.01,0.66)","9.68556e-04","2.08418e-01"
"34",34,"(0,0.68)","2.45799e-03","5.65304e-01"
"35",35,"(0.01,0.62)","9.81980e-04","2.41545e-01"
"36",36,"(0,0.64)","2.47445e-03","6.09456e-01"
"37",37,"(0,0.65)","4.82241e-04","1.35906e-01"
"38",38,"(0,0.8)","1.69042e-03","3.94393e-01"
"39",39,"(0,0.75)","1.82755e-03","4.80593e-01"
"40",40,"(0,0.8)","3.61747e-03","1.10132e+00"
"41",41,"(0,0.62)","1.72239e-03","5.20342e-01"
"42",42,"(0,0.63)","1.43249e-03","4.40105e-01"
"43",43,"(0,0.67)","5.17755e-04","1.60173e-01"
"44",44,"(0.03,0.64)","1.95387e-03","6.92558e-01"
"45",45,"(0,0.6)","2.23640e-03","8.02242e-01"
"46",46,"(0,0.68)","7.01536e-04","2.38127e-01"
"47",47,"(0,0.71)","1.91116e-03","6.87876e-01"
"48",48,"(0,0.73)","9.16514e-04","3.46118e-01"
"49",49,"(0,0.64)","4.27390e-04","1.68738e-01"
"50",50,"(0,0.89)","7.84460e-04","3.10063e-01"
"51",51,"(0,0.65)","2.14508e-03","9.23189e-01"
"52",52,"(0.01,0.69)","1.01021e-03","4.20552e-01"
"53",53,"(0,0.76)","6.54729e-04","2.84607e-01"
