1 1   (0.03,0.44) 2.40039e+00 5.07709e+00
   
2 2   (0.06,0.33) 7.88528e-02 4.15135e-01
   
3 3   (0.02,0.44) 5.15849e-02 6.45339e-01
   
4 4      (0,0.44) 4.01720e-02 7.72001e-01
   
5 5    (0.04,0.4) 2.04736e-02 2.88255e-01
   
6 6   (0.05,0.41) 1.59626e-02 5.34530e-01
   
7 7      (0,0.44) 1.22599e-02 4.98379e-01
   
8 8      (0,0.57) 9.20223e-03 4.13571e-01
   
9 9   (0.01,0.48) 7.97755e-03 5.44265e-01
     
10 10      (0,0.53) 1.27444e-02 1.00978e+00
     
11 11      (0,0.44) 9.79055e-03 1.07537e+00
     
12 12   (0.04,0.61) 5.96784e-03 6.62733e-01
     
13 13      (0,0.74) 6.85686e-03 9.22203e-01
     
14 14      (0,0.47) 3.78270e-03 6.18814e-01
     
15 15      (0,0.66) 3.10082e-03 5.57219e-01
     
16 16      (0,0.44) 2.81431e-03 6.30942e-01
     
17 17   (0.01,0.46) 2.71340e-03 6.45795e-01
     
18 18   (0.01,0.48) 2.32051e-03 6.76216e-01
     
19 19   (0.01,0.54) 2.47409e-03 7.64091e-01
     
20 20      (0,0.59) 1.78463e-03 5.81321e-01
     
21 21   (0.01,0.56) 1.06299e-03 4.10516e-01
     
22 22      (0,0.46) 7.78410e-04 3.24578e-01
     
23 23      (0,0.67) 9.81890e-04 4.28214e-01
     
24 24      (0,0.52) 8.24919e-04 3.89539e-01
     
25 25   (0.01,0.56) 1.76384e-03 9.90220e-01
     
26 26      (0,0.73) 2.65539e-04 1.69246e-01
     
27 27       (0,0.5) 6.53329e-04 3.83133e-01
     
28 28      (0,0.53) 1.66785e-03 1.13091e+00
     
29 29      (0,0.51) 1.20552e-03 8.99279e-01
     
30 30      (0,0.53) 7.19579e-04 5.53241e-01
     
31 31      (0,0.54) 1.06539e-03 8.54144e-01
     
32 32   (0.01,0.47) 3.37977e-04 3.03995e-01
     
33 33      (0,0.64) 7.69378e-04 6.56649e-01
     
34 34      (0,0.53) 4.00737e-04 3.66653e-01
     
35 35       (0,0.5) 8.41850e-04 8.91254e-01
     
36 36      (0,0.45) 4.33140e-04 4.72994e-01
     
37 37      (0,0.59) 4.80672e-04 5.41507e-01
     
38 38      (0,0.49) 6.59071e-04 8.10246e-01
     
39 39      (0,0.51) 6.69824e-04 8.84699e-01
     
40 40      (0,0.51) 5.49041e-04 7.55559e-01
     
41 41      (0,0.48) 2.78813e-04 3.96604e-01
     
42 42      (0,0.56) 4.70596e-04 7.05074e-01
     
43 43      (0,0.47) 6.89730e-04 1.12940e+00
     
44 44    (0.01,0.7) 2.17191e-04 3.62901e-01
     
45 45      (0,0.61) 4.21802e-04 7.10111e-01
     
46 46      (0,0.51) 3.58815e-04 6.39745e-01
     
47 47   (0.01,0.62) 2.22383e-04 3.95784e-01
     
48 48   (0.01,0.62) 2.43700e-04 4.58074e-01
     
49 49   (0.01,0.56) 4.72670e-04 1.01185e+00
     
50 50      (0,0.63) 3.91510e-04 8.05646e-01
