"1",1,"(0.19,0.44)","2.52895e-01","5.05789e-01"
"2",2,"(0.11,0.66)","1.45489e-01","4.49253e-01"
"3",3,"(0.12,0.59)","6.71191e-02","3.18358e-01"
"4",4,"(0,0.75)","1.25905e-01","8.71943e-01"
"5",5,"(0.02,0.65)","5.77725e-02","4.24044e-01"
"6",6,"(0.05,0.69)","4.50428e-02","3.87128e-01"
"7",7,"(0.01,0.76)","3.07988e-02","2.96039e-01"
"8",8,"(0.03,0.65)","9.67529e-02","1.17392e+00"
"9",9,"(0.09,0.8)","1.27534e-02","1.59659e-01"
"10",10,"(0,0.79)","1.32670e-02","1.65594e-01"
"11",11,"(0.01,0.83)","2.54947e-02","4.38476e-01"
"12",12,"(0.03,0.79)","1.54215e-02","2.85243e-01"
"13",13,"(0.01,0.72)","2.91778e-03","4.21758e-02"
"14",14,"(0.08,0.7)","1.75692e-02","3.60259e-01"
"15",15,"(0.01,0.98)","8.77875e-03","1.78327e-01"
"16",16,"(0.03,0.85)","2.85522e-02","6.14927e-01"
"17",17,"(0,0.77)","1.17330e-02","2.73494e-01"
"18",18,"(0.01,0.71)","1.39566e-02","3.52489e-01"
"19",19,"(0,0.87)","1.59896e-02","4.20295e-01"
"20",20,"(0.01,0.75)","4.14968e-02","1.38808e+00"
"21",21,"(0.02,0.6)","3.03957e-03","8.83190e-02"
"22",22,"(0.02,0.77)","1.94654e-03","6.09833e-02"
"23",23,"(0,0.79)","8.08959e-03","2.54434e-01"
"24",24,"(0.01,0.82)","1.10066e-03","3.38013e-02"
"25",25,"(0.01,0.75)","1.13881e-02","3.94151e-01"
"26",26,"(0,0.82)","2.07489e-03","6.90838e-02"
"27",27,"(0.01,0.78)","1.99068e-02","7.86890e-01"
"28",28,"(0.01,0.96)","2.20148e-02","8.98514e-01"
"29",29,"(0,0.89)","1.93302e-02","8.02634e-01"
"30",30,"(0,0.77)","2.32351e-02","1.02685e+00"
"31",31,"(0.01,0.93)","6.98260e-03","2.86861e-01"
"32",32,"(0.01,0.76)","9.32305e-03","4.25474e-01"
"33",33,"(0,0.84)","1.94246e-02","9.62578e-01"
"34",34,"(0.01,0.78)","6.63166e-03","3.17325e-01"
"35",35,"(0.01,0.79)","2.46504e-02","1.26417e+00"
"36",36,"(0,0.9)","1.96932e-02","1.00494e+00"
"37",37,"(0.02,0.75)","1.01184e-02","5.41158e-01"
"38",38,"(0,0.82)","7.90819e-03","4.13447e-01"
"39",39,"(0.02,0.8)","4.08841e-03","2.17838e-01"
"40",40,"(0.01,0.76)","1.28378e-02","7.54309e-01"
"41",41,"(0.01,0.85)","1.91368e-02","1.16009e+00"
"42",42,"(0.01,0.93)","4.77355e-03","2.69355e-01"
"43",43,"(0.01,0.78)","1.34966e-03","6.87646e-02"
"44",44,"(0,0.81)","1.20039e-02","7.49429e-01"
"45",45,"(0.01,0.89)","1.46716e-02","9.65786e-01"
"46",46,"(0,0.88)","1.24058e-02","7.58185e-01"
"47",47,"(0.02,0.92)","3.08634e-03","1.94779e-01"
"48",48,"(0.01,0.85)","4.49935e-03","2.83881e-01"
"49",49,"(0.01,0.82)","1.66819e-03","1.03584e-01"
"50",50,"(0.02,0.9)","5.88139e-03","4.01955e-01"
"51",51,"(0,0.9)","1.06994e-02","7.74769e-01"
"52",52,"(0.01,0.9)","4.46821e-03","3.21060e-01"
"53",53,"(0.01,0.89)","1.07181e-03","7.70380e-02"
"54",54,"(0,0.8)","4.82030e-03","3.75676e-01"
"55",55,"(0.01,0.89)","1.58176e-02","1.32273e+00"
"56",56,"(0,0.8)","1.18226e-02","9.75169e-01"
"57",57,"(0,0.86)","9.81936e-03","8.04460e-01"
"58",58,"(0.02,0.88)","1.23919e-03","9.96923e-02"
"59",59,"(0,0.81)","6.18334e-03","5.13506e-01"
"60",60,"(0,0.86)","1.01306e-02","8.87756e-01"
"61",61,"(0,0.87)","5.05143e-03","4.18101e-01"
"62",62,"(0.02,0.82)","4.07019e-03","3.51386e-01"
"63",63,"(0,0.91)","1.27221e-02","1.20434e+00"
"64",64,"(0,0.81)","3.36114e-04","2.43016e-02"
"65",65,"(0.01,0.91)","4.68510e-03","4.17561e-01"
"66",66,"(0,0.95)","4.04336e-03","3.41893e-01"
"67",67,"(0,0.85)","7.20724e-03","6.93170e-01"
"68",68,"(0,0.96)","6.82787e-03","6.29871e-01"
"69",69,"(0.01,0.82)","1.16160e-02","1.24343e+00"
"70",70,"(0,0.68)","7.89383e-03","8.07500e-01"
"71",71,"(0.01,0.8)","9.71223e-04","8.33258e-02"
"72",72,"(0,0.87)","2.77213e-03","2.59353e-01"
"73",73,"(0.01,0.8)","1.55641e-03","1.54832e-01"
"74",74,"(0.01,0.87)","7.49456e-03","7.93556e-01"
"75",75,"(0,0.81)","4.32962e-03","4.47336e-01"
"76",76,"(0.03,0.82)","5.67838e-03","6.00656e-01"
"77",77,"(0,0.86)","4.00179e-03","4.33687e-01"
"78",78,"(0,0.84)","7.96609e-03","8.86819e-01"
"79",79,"(0,0.93)","1.28341e-03","1.13464e-01"
"80",80,"(0.01,0.89)","5.71293e-03","6.48159e-01"
"81",81,"(0,0.89)","9.92484e-03","1.25060e+00"
"82",82,"(0.01,0.95)","1.02438e-02","1.28051e+00"
"83",83,"(0,0.91)","4.26862e-03","4.58164e-01"
"84",84,"(0,0.96)","4.10070e-03","4.77548e-01"
"85",85,"(0.01,0.92)","3.63331e-03","4.30144e-01"
"86",86,"(0,0.84)","2.78310e-03","3.22875e-01"
"87",87,"(0,0.89)","1.00557e-03","9.71598e-02"
"88",88,"(0,0.88)","1.64671e-03","1.91969e-01"
"89",89,"(0,0.92)","2.91415e-03","3.54747e-01"
"90",90,"(0,0.9)","1.95500e-03","2.20304e-01"
"91",91,"(0,0.9)","4.00469e-03","4.78507e-01"
"92",92,"(0,0.93)","8.83248e-03","1.22003e+00"
"93",93,"(0,0.76)","1.83292e-03","2.33016e-01"
"94",94,"(0,0.87)","3.34277e-03","4.15585e-01"
"95",95,"(0,0.91)","3.10119e-03","3.86521e-01"
"96",96,"(0,0.91)","3.05513e-03","3.90371e-01"
"97",97,"(0,0.93)","3.02505e-03","4.03680e-01"
"98",98,"(0.01,0.88)","8.28964e-03","1.24262e+00"
"99",99,"(0.01,0.95)","5.34839e-04","5.87712e-02"
"100",100,"(0,0.87)","3.45341e-03","4.76729e-01"
"101",101,"(0,0.83)","1.43246e-03","1.85680e-01"
"102",102,"(0,0.89)","3.60365e-03","5.17407e-01"
"103",103,"(0.01,0.86)","3.89276e-03","5.50740e-01"
"104",104,"(0,0.93)","2.14668e-03","2.99772e-01"
"105",105,"(0,0.93)","1.35382e-03","1.82389e-01"
"106",106,"(0,0.9)","4.10706e-03","5.94036e-01"
"107",107,"(0,0.95)","2.48431e-03","3.60255e-01"
"108",108,"(0,0.87)","2.74474e-03","3.93108e-01"
"109",109,"(0,0.9)","3.62616e-03","5.63870e-01"
"110",110,"(0,0.86)","5.96987e-04","7.61231e-02"
"111",111,"(0,0.97)","7.28448e-04","7.81447e-02"
"112",112,"(0,0.88)","9.98010e-04","1.37562e-01"
"113",113,"(0.01,0.82)","2.15848e-03","3.21248e-01"
"114",114,"(0,0.91)","2.26013e-03","3.42789e-01"
"115",115,"(0.01,0.91)","6.80567e-03","1.17567e+00"
"116",116,"(0,0.86)","4.24523e-03","6.76411e-01"
"117",117,"(0,0.82)","6.72968e-04","8.45669e-02"
"118",118,"(0,0.91)","4.82437e-03","8.15504e-01"
"119",119,"(0,0.83)","2.49625e-03","4.05561e-01"
"120",120,"(0,0.94)","5.66663e-03","9.87606e-01"
"121",121,"(0,0.91)","2.34371e-03","3.78637e-01"
"122",122,"(0,0.94)","3.11120e-03","5.23609e-01"
"123",123,"(0,0.96)","9.24830e-04","1.39555e-01"
"124",124,"(0.01,0.91)","2.93241e-04","2.68452e-02"
"125",125,"(0.01,0.85)","1.57248e-03","2.55900e-01"
"126",126,"(0,0.92)","4.71832e-03","8.44965e-01"
"127",127,"(0.01,0.94)","5.40111e-04","8.17749e-02"
"128",128,"(0.01,0.9)","3.39906e-03","5.99932e-01"
"129",129,"(0,0.94)","2.63564e-03","4.67177e-01"
"130",130,"(0,0.93)","2.53412e-03","4.37585e-01"
"131",131,"(0,0.84)","1.51739e-03","2.46271e-01"
"132",132,"(0,0.86)","2.23765e-03","4.03015e-01"
"133",133,"(0.01,0.96)","2.41528e-03","4.29337e-01"
"134",134,"(0,0.85)","3.86769e-03","7.27229e-01"
"135",135,"(0,0.89)","5.34850e-03","1.04365e+00"
"136",136,"(0.01,0.92)","4.27652e-03","8.39390e-01"
"137",137,"(0,0.88)","3.62144e-03","6.79284e-01"
"138",138,"(0,0.77)","2.08417e-03","4.00924e-01"
"139",139,"(0,0.91)","1.78636e-03","3.22788e-01"
"140",140,"(0,0.88)","5.75513e-03","1.24683e+00"
"141",141,"(0,0.94)","3.45393e-03","6.54950e-01"
"142",142,"(0,0.9)","1.11967e-03","2.13983e-01"
"143",143,"(0.01,0.92)","3.73304e-03","7.53301e-01"
"144",144,"(0,0.92)","1.69657e-03","3.38418e-01"
"145",145,"(0,0.87)","1.84435e-03","3.40070e-01"
"146",146,"(0.01,0.86)","2.23198e-03","4.44541e-01"
"147",147,"(0,0.84)","5.04593e-04","8.65473e-02"
"148",148,"(0,0.87)","7.25998e-04","1.28671e-01"
"149",149,"(0,0.97)","2.33621e-03","4.77132e-01"
"150",150,"(0.01,0.92)","4.10886e-03","8.77972e-01"
"151",151,"(0,0.86)","9.68174e-04","1.96270e-01"
"152",152,"(0.01,0.93)","3.19937e-04","4.40810e-02"
"153",153,"(0,0.91)","4.40845e-03","9.85502e-01"
"154",154,"(0,0.94)","3.14575e-03","6.52033e-01"
"155",155,"(0,0.82)","1.54297e-03","3.28825e-01"
"156",156,"(0,0.98)","4.90757e-03","1.18784e+00"
"157",157,"(0.01,0.87)","2.72672e-04","2.92609e-02"
"158",158,"(0,0.89)","1.35557e-03","2.83773e-01"
"159",159,"(0,0.86)","1.42142e-03","2.98784e-01"
"160",160,"(0,0.96)","3.66891e-03","8.22437e-01"
"161",161,"(0,0.9)","3.32714e-03","7.52120e-01"
"162",162,"(0,0.91)","3.34463e-03","7.43673e-01"
"163",163,"(0,0.87)","1.36477e-03","2.65605e-01"
"164",164,"(0,0.91)","7.38197e-04","1.53651e-01"
"165",165,"(0,0.91)","1.26025e-03","2.70111e-01"
"166",166,"(0.01,0.86)","4.53133e-03","1.08113e+00"
"167",167,"(0,0.9)","1.27381e-03","2.71782e-01"
"168",168,"(0,0.99)","2.84775e-03","6.52188e-01"
"169",169,"(0,0.9)","4.21678e-03","1.04096e+00"
