"n"	"m"	"method"	"mae"	"tae"
"609"	2	8	"SIM"	0.0500982	0.593802
"610"	3	8	"SIM"	0.0192801	0.585405
"611"	4	8	"SIM"	0.00878817	0.578135
"612"	5	8	"SIM"	0.0048992	0.600192
"613"	6	8	"SIM"	0.00319126	0.651971
"614"	7	8	"SIM"	0.00221911	0.689238
"615"	8	8	"SIM"	0.00167447	0.764607
"616"	9	8	"SIM"	0.00130562	0.856856
"617"	10	8	"SIM"	0.00113416	0.975954
"618"	11	8	"SIM"	0.000967955	1.10276
"619"	10	3	"N.A"	0.036423205	0.50841186
"620"	20	3	"N.A"	0.017630084	0.49804444
"621"	30	3	"N.A"	0.012044473	0.50102444
"622"	40	3	"N.A"	0.009547324	0.50757646
"623"	50	3	"N.A"	0.007101861	0.48995248
"624"	60	3	"N.A"	0.005366336	0.50062498
"625"	70	3	"N.A"	0.004882383	0.4900142
"626"	80	3	"N.A"	0.004664422	0.50381652
"627"	90	3	"N.A"	0.004113181	0.49984736
"628"	100	3	"N.A"	0.003555374	0.50016892
"629"	10	4	"N.A"	0.0123434626	0.4260027
"630"	20	4	"N.A"	0.0039890233	0.4362593
"631"	30	4	"N.A"	0.0022670978	0.4498343
"632"	40	4	"N.A"	0.0014509598	0.4401221
"633"	50	4	"N.A"	0.0010927303	0.4312875
"634"	60	4	"N.A"	0.000837228	0.4345545
"635"	70	4	"N.A"	0.0006148532	0.4230541
"636"	80	4	"N.A"	0.0004716643	0.4376208
"637"	90	4	"N.A"	0.0003922316	0.4135581
"638"	100	4	"N.A"	0.0003714231	0.4037304
"1100"	10	5	"N.A"	0.00646763	0.5643321
"2100"	20	5	"N.A"	0.001545802	0.5481894
"3100"	30	5	"N.A"	0.0007001232	0.552177
"4100"	40	5	"N.A"	0.0004400635	0.6062812
"5100"	50	5	"N.A"	0.0002734947	0.588112
"639"	5	6	"N.A"	0.01232672	0.5470556
"710"	10	6	"N.A"	0.002644101	0.5076421
"810"	15	6	"N.A"	0.0009205273	0.4805096
"910"	20	6	"N.A"	0.0005221116	0.5474331
"1010"	25	6	"N.A"	0.0003258181	0.5901903
"1110"	30	6	"N.A"	0.0001876656	0.5504213
"1210"	3	7	"N.A"	0.03108522	0.6449948
"1310"	6	7	"N.A"	0.005040946	0.5943505
"1410"	9	7	"N.A"	0.001793559	0.577962
"1510"	12	7	"N.A"	0.0008758392	0.6013844
"1610"	15	7	"N.A"	0.00046672	0.6106313
"1710"	4	8	"N.A"	0.009266731	0.6153069
"1810"	6	8	"N.A"	0.002683808	0.5883113
"1910"	8	8	"N.A"	0.001245146	0.5938332
"2010"	10	8	"N.A"	0.0006479173	0.5644215
