"n" "m" "B" "max" "err.max" "per.75" "err.75" "per.50" "err.50"
"58" 80 3 1e+06 0.01209978 8.435722e-05 1.065209e-12 1.074853e-12 3.81212e-19 4.786814e-20
"59" 90 3 1e+06 0.01071613 7.529974e-05 1.065209e-14 1.074853e-14 3.81212e-21 4.786814e-22
"60" 100 3 1e+06 0.009696944 8.456196e-05 1.065209e-16 1.074853e-16 3.81212e-23 4.786814e-24
"61" 10 3 1e+07 0.08877254 8.236805e-05 0.005232208 1.837391e-05 3.359879e-05 1.178247e-06
"62" 20 3 1e+07 0.04693371 5.779076e-05 0.0002355114 3.794285e-06 3.37411e-07 1.506747e-08
"63" 30 3 1e+07 0.03165517 4.433759e-05 1.094955e-05 7.912279e-07 3.37411e-09 1.506747e-10
"64" 40 3 1e+07 0.02399953 4.166931e-05 5.474985e-07 1.895213e-07 3.37411e-11 1.506747e-12
"65" 50 3 1e+07 0.01916393 3.164336e-05 3.038198e-08 3.967021e-08 3.37411e-13 1.506747e-14
"66" 60 3 1e+07 0.01610277 3.592364e-05 1.65082e-09 3.685702e-09 3.37411e-15 1.506747e-16
"67" 70 3 1e+07 0.01379703 2.940464e-05 1.095082e-10 1.29857e-10 3.37411e-17 1.506747e-18
"68" 80 3 1e+07 0.01209216 2.959606e-05 1.095082e-12 1.29857e-12 3.37411e-19 1.506747e-20
